Market Price Type,Centre,Variety Name,Grade,Unit,Max Price,Average Price,Min. Price
Farm Price,"SIBU, SARAWAK",BAYAM,F.A.Q,KG,210.0,210.0,210.0
Farm Price,"SIBU, SARAWAK",BELIMBING (B10),F.A.Q,KG,350.0,350.0,350.0
Farm Price,"SIBU, SARAWAK",BETIK SEKAKI,F.A.Q,KG,250.0,250.0,250.0
Farm Price,"SIBU, SARAWAK",CILI HIJAU,F.A.Q,KG,600.0,600.0,600.0
Farm Price,"SIBU, SARAWAK",CILI MERAH MINYAK,F.A.Q,KG,600.0,600.0,600.0
Farm Price,"SIBU, SARAWAK",KACANG BENDI,F.A.Q,KG,190.0,190.0,190.0
Farm Price,"SIBU, SARAWAK",KACANG BUNCIS,F.A.Q,KG,510.0,510.0,510.0
Farm Price,"SIBU, SARAWAK",KACANG PANJANG HIJAU,F.A.Q,KG,390.0,390.0,390.0
Farm Price,"SIBU, SARAWAK",KANGKUNG,F.A.Q,KG,250.0,250.0,250.0
Farm Price,"SIBU, SARAWAK",KETOLA / PETOLA SEGI,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"SIBU, SARAWAK",PISANG BERANGAN,F.A.Q,KG,290.0,290.0,290.0
Farm Price,"SIBU, SARAWAK",PISANG MAS,F.A.Q,KG,290.0,290.0,290.0
Farm Price,"SIBU, SARAWAK",SAWI HIJAU,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"SIBU, SARAWAK",TELUR AYAM,A,100 BIJI,40.0,40.0,40.0
Farm Price,"SIBU, SARAWAK",TELUR AYAM,B,100 BIJI,37.0,37.0,37.0
Farm Price,"SIBU, SARAWAK",TELUR AYAM,C,100 BIJI,36.0,36.0,36.0
Farm Price,"SIBU, SARAWAK",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,500.0,500.0,500.0
Farm Price,"SIBU, SARAWAK",TIMUN HIJAU,F.A.Q,KG,90.0,90.0,90.0
Farm Price,"MIRI, SARAWAK",BAYAM,F.A.Q,KG,500.0,500.0,500.0
Farm Price,"MIRI, SARAWAK",BELIMBING (B10),F.A.Q,KG,300.0,300.0,300.0
Farm Price,"MIRI, SARAWAK",BETIK SEKAKI,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"MIRI, SARAWAK",BUNGA KANTAN,F.A.Q,TANGKAI,1.0,1.0,1.0
Farm Price,"MIRI, SARAWAK",CILI HIJAU,F.A.Q,KG,1500.0,1500.0,1500.0
Farm Price,"MIRI, SARAWAK",CILI MERAH MINYAK,F.A.Q,KG,2000.0,2000.0,2000.0
Farm Price,"MIRI, SARAWAK",DAUN BAWANG,F.A.Q,KG,1000.0,1000.0,1000.0
Farm Price,"MIRI, SARAWAK",DAUN SUP (TANAH TINGGI),F.A.Q,KG,900.0,900.0,900.0
Farm Price,"MIRI, SARAWAK",KACANG BENDI,F.A.Q,KG,700.0,700.0,700.0
Farm Price,"MIRI, SARAWAK",KACANG BUNCIS,F.A.Q,KG,600.0,600.0,600.0
Farm Price,"MIRI, SARAWAK",KACANG PANJANG HIJAU,F.A.Q,KG,600.0,600.0,600.0
Farm Price,"MIRI, SARAWAK",KANGKUNG,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"MIRI, SARAWAK",KELAPA DIKUPAS,SEDANG,100 BIJI,100.0,100.0,100.0
Farm Price,"MIRI, SARAWAK",KETOLA / PETOLA SEGI,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"MIRI, SARAWAK",PISANG BERANGAN,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"MIRI, SARAWAK",PISANG MAS,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"MIRI, SARAWAK",SAWI HIJAU,F.A.Q,KG,1000.0,1000.0,1000.0
Farm Price,"MIRI, SARAWAK",TELUR AYAM,A,100 BIJI,42.0,42.0,42.0
Farm Price,"MIRI, SARAWAK",TELUR AYAM,B,100 BIJI,39.0,39.0,39.0
Farm Price,"MIRI, SARAWAK",TELUR AYAM,C,100 BIJI,37.0,37.0,37.0
Farm Price,"MIRI, SARAWAK",TEMBIKAI MERAH,F.A.Q,KG,250.0,250.0,250.0
Farm Price,"MIRI, SARAWAK",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,300.0,300.0,300.0
Farm Price,"MIRI, SARAWAK",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,400.0,400.0,400.0
Farm Price,"MIRI, SARAWAK",TIMUN HIJAU,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"MIRI, SARAWAK",TOMATO (TANAH TINGGI),F.A.Q,KG,400.0,400.0,400.0
Wholesale Price,"JOHOR BAHRU, JOHOR",AYAM HIDUP,F.A.Q,KG,830.0,800.0,770.0
Wholesale Price,"JOHOR BAHRU, JOHOR",AYAM PROSES STANDARD,F.A.Q,KG,980.0,950.0,920.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,400.0,400.0,400.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,450.0,425.0,400.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG BESAR MERAH (INDIA),F.A.Q,KG,450.0,425.0,400.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG MERAH / KECIL (THAI),F.A.Q,KG,900.0,850.0,800.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG MERAH ROSE,F.A.Q,KG,900.0,850.0,800.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG PUTIH (CHINA),F.A.Q,KG,900.0,850.0,800.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BAYAM,F.A.Q,KG,550.0,525.0,500.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BELIMBING (B10),F.A.Q,KG,500.0,450.0,400.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BETIK SEKAKI,F.A.Q,KG,300.0,300.0,300.0
Wholesale Price,"JOHOR BAHRU, JOHOR",BUNGA KANTAN,F.A.Q,TANGKAI,1.0,1.0,1.0
Wholesale Price,"JOHOR BAHRU, JOHOR",CILI HIJAU,F.A.Q,KG,1100.0,1050.0,1000.0
Wholesale Price,"JOHOR BAHRU, JOHOR",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1300.0,1250.0,1200.0
Wholesale Price,"JOHOR BAHRU, JOHOR",DAUN BAWANG,F.A.Q,KG,650.0,625.0,600.0
Wholesale Price,"JOHOR BAHRU, JOHOR",DAUN SUP (TANAH TINGGI),F.A.Q,KG,1050.0,1025.0,1000.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KACANG BENDI,F.A.Q,KG,800.0,750.0,700.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KACANG BUNCIS,F.A.Q,KG,1000.0,950.0,900.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KACANG PANJANG HIJAU,F.A.Q,KG,900.0,850.0,800.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KANGKUNG,F.A.Q,KG,550.0,525.0,500.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KELAPA DIKUPAS,SEDANG,100 BIJI,190.0,190.0,190.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KETOLA / PETOLA SEGI,F.A.Q,KG,500.0,475.0,450.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KUBIS BULAT (CHINA),F.A.Q,KG,300.0,275.0,250.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KUBIS BULAT (INDONESIA),F.A.Q,KG,300.0,275.0,250.0
Wholesale Price,"JOHOR BAHRU, JOHOR",KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,450.0,425.0,400.0
Wholesale Price,"JOHOR BAHRU, JOHOR",PISANG BERANGAN,F.A.Q,KG,300.0,300.0,300.0
Wholesale Price,"JOHOR BAHRU, JOHOR",PISANG MAS,F.A.Q,KG,300.0,290.0,280.0
Wholesale Price,"JOHOR BAHRU, JOHOR",SAWI HIJAU,F.A.Q,KG,700.0,675.0,650.0
Wholesale Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,A,100 BIJI,41.0,41.0,41.0
Wholesale Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,B,100 BIJI,39.0,39.0,39.0
Wholesale Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,C,100 BIJI,37.0,37.0,37.0
Wholesale Price,"JOHOR BAHRU, JOHOR",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,300.0,300.0,300.0
Wholesale Price,"JOHOR BAHRU, JOHOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,800.0,750.0,700.0
Wholesale Price,"JOHOR BAHRU, JOHOR",TIMUN HIJAU,F.A.Q,KG,500.0,475.0,450.0
Wholesale Price,"JOHOR BAHRU, JOHOR",TOMATO (TANAH TINGGI),F.A.Q,KG,500.0,450.0,400.0
Wholesale Price,"JOHOR BAHRU, JOHOR",UBI KENTANG HOLLAND,F.A.Q,KG,400.0,400.0,400.0
Wholesale Price,"KOTA SETAR, KEDAH",AYAM HIDUP,F.A.Q,KG,670.0,650.0,650.0
Wholesale Price,"KOTA SETAR, KEDAH",AYAM PROSES STANDARD,F.A.Q,KG,800.0,750.0,750.0
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,260.0,250.0,250.0
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,200.0,180.0,180.0
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,280.0,260.0,260.0
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG MERAH / KECIL (THAI),F.A.Q,KG,850.0,800.0,800.0
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG PUTIH (CHINA),F.A.Q,KG,700.0,700.0,700.0
Wholesale Price,"KOTA SETAR, KEDAH",BAYAM,F.A.Q,KG,350.0,300.0,300.0
Wholesale Price,"KOTA SETAR, KEDAH",BELIMBING (B10),F.A.Q,KG,400.0,300.0,300.0
Wholesale Price,"KOTA SETAR, KEDAH",BETIK SEKAKI,F.A.Q,KG,280.0,250.0,250.0
Wholesale Price,"KOTA SETAR, KEDAH",BUNGA KANTAN,F.A.Q,TANGKAI,1.0,1.0,0.8
Wholesale Price,"KOTA SETAR, KEDAH",CILI HIJAU (IMPORT),F.A.Q,KG,950.0,900.0,900.0
Wholesale Price,"KOTA SETAR, KEDAH",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1500.0,1400.0,1400.0
Wholesale Price,"KOTA SETAR, KEDAH",DAUN BAWANG,F.A.Q,KG,900.0,800.0,800.0
Wholesale Price,"KOTA SETAR, KEDAH",DAUN SUP (TANAH TINGGI),F.A.Q,KG,1300.0,1200.0,1200.0
Wholesale Price,"KOTA SETAR, KEDAH",KACANG BENDI,F.A.Q,KG,600.0,550.0,550.0
Wholesale Price,"KOTA SETAR, KEDAH",KACANG BUNCIS,F.A.Q,KG,1100.0,1000.0,1000.0
Wholesale Price,"KOTA SETAR, KEDAH",KACANG PANJANG HIJAU,F.A.Q,KG,600.0,500.0,500.0
Wholesale Price,"KOTA SETAR, KEDAH",KANGKUNG,F.A.Q,KG,400.0,350.0,350.0
Wholesale Price,"KOTA SETAR, KEDAH",KELAPA DIKUPAS,SEDANG,100 BIJI,200.0,150.0,150.0
Wholesale Price,"KOTA SETAR, KEDAH",KETOLA / PETOLA SEGI,F.A.Q,KG,350.0,300.0,300.0
Wholesale Price,"KOTA SETAR, KEDAH",KUBIS BULAT (CHINA),F.A.Q,KG,230.0,220.0,220.0
Wholesale Price,"KOTA SETAR, KEDAH",KUBIS BULAT (INDONESIA),F.A.Q,KG,250.0,200.0,200.0
Wholesale Price,"KOTA SETAR, KEDAH",KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,250.0,250.0,250.0
Wholesale Price,"KOTA SETAR, KEDAH",PISANG BERANGAN,F.A.Q,KG,300.0,250.0,250.0
Wholesale Price,"KOTA SETAR, KEDAH",PISANG MAS,F.A.Q,KG,300.0,250.0,250.0
Wholesale Price,"KOTA SETAR, KEDAH",SAWI HIJAU,F.A.Q,KG,450.0,400.0,400.0
Wholesale Price,"KOTA SETAR, KEDAH",TELUR AYAM,A,100 BIJI,41.0,41.0,41.0
Wholesale Price,"KOTA SETAR, KEDAH",TELUR AYAM,B,100 BIJI,39.0,39.0,39.0
Wholesale Price,"KOTA SETAR, KEDAH",TELUR AYAM,C,100 BIJI,37.0,37.0,37.0
Wholesale Price,"KOTA SETAR, KEDAH",TEMBIKAI MERAH,F.A.Q,KG,250.0,200.0,200.0
Wholesale Price,"KOTA SETAR, KEDAH",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,250.0,200.0,200.0
Wholesale Price,"KOTA SETAR, KEDAH",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,650.0,600.0,600.0
Wholesale Price,"KOTA SETAR, KEDAH",TIMUN HIJAU,F.A.Q,KG,350.0,300.0,300.0
Wholesale Price,"KOTA SETAR, KEDAH",TOMATO (TANAH TINGGI),F.A.Q,KG,350.0,300.0,300.0
Wholesale Price,"KOTA SETAR, KEDAH",UBI KENTANG HOLLAND,F.A.Q,KG,160.0,150.0,150.0
Wholesale Price,"KOTA BHARU, KELANTAN",AYAM PROSES STANDARD,F.A.Q,KG,1000.0,950.0,950.0
Wholesale Price,"KOTA BHARU, KELANTAN",BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,350.0,300.0,300.0
Wholesale Price,"KOTA BHARU, KELANTAN",BAWANG BESAR MERAH (INDIA),F.A.Q,KG,250.0,230.0,230.0
Wholesale Price,"KOTA BHARU, KELANTAN",BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,200.0,180.0,180.0
Wholesale Price,"KOTA BHARU, KELANTAN",BAWANG PUTIH (CHINA),F.A.Q,KG,450.0,400.0,400.0
Wholesale Price,"KOTA BHARU, KELANTAN",BAYAM,F.A.Q,KG,500.0,500.0,500.0
Wholesale Price,"KOTA BHARU, KELANTAN",BETIK SEKAKI,F.A.Q,KG,250.0,200.0,200.0
Wholesale Price,"KOTA BHARU, KELANTAN",BUNGA KANTAN,F.A.Q,TANGKAI,2.0,2.0,2.0
Wholesale Price,"KOTA BHARU, KELANTAN",CILI MERAH (THAILAND),F.A.Q,KG,1000.0,1000.0,1000.0
Wholesale Price,"KOTA BHARU, KELANTAN",CILI MERAH (VIETNAM),F.A.Q,KG,1000.0,1000.0,1000.0
Wholesale Price,"KOTA BHARU, KELANTAN",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1000.0,1000.0,1000.0
Wholesale Price,"KOTA BHARU, KELANTAN",CILI MERAH MINYAK,F.A.Q,KG,1000.0,1000.0,1000.0
Wholesale Price,"KOTA BHARU, KELANTAN",DAUN BAWANG,F.A.Q,KG,1000.0,1000.0,1000.0
Wholesale Price,"KOTA BHARU, KELANTAN",DAUN SUP (TANAH TINGGI),F.A.Q,KG,1000.0,1000.0,1000.0
Wholesale Price,"KOTA BHARU, KELANTAN",KACANG BENDI,F.A.Q,KG,420.0,400.0,400.0
Wholesale Price,"KOTA BHARU, KELANTAN",KACANG BUNCIS,F.A.Q,KG,1300.0,1200.0,1200.0
Wholesale Price,"KOTA BHARU, KELANTAN",KACANG PANJANG HIJAU,F.A.Q,KG,500.0,500.0,500.0
Wholesale Price,"KOTA BHARU, KELANTAN",KANGKUNG,F.A.Q,KG,400.0,400.0,400.0
Wholesale Price,"KOTA BHARU, KELANTAN",KELAPA DIKUPAS,SEDANG,100 BIJI,180.0,170.0,170.0
Wholesale Price,"KOTA BHARU, KELANTAN",KETOLA / PETOLA SEGI,F.A.Q,KG,200.0,200.0,200.0
Wholesale Price,"KOTA BHARU, KELANTAN",KUBIS BULAT (CHINA),F.A.Q,KG,330.0,310.0,310.0
Wholesale Price,"KOTA BHARU, KELANTAN",KUBIS BULAT (INDONESIA),F.A.Q,KG,200.0,200.0,200.0
Wholesale Price,"KOTA BHARU, KELANTAN",KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,450.0,400.0,400.0
Wholesale Price,"KOTA BHARU, KELANTAN",PISANG BERANGAN,F.A.Q,KG,350.0,350.0,350.0
Wholesale Price,"KOTA BHARU, KELANTAN",PISANG MAS,F.A.Q,KG,350.0,350.0,350.0
Wholesale Price,"KOTA BHARU, KELANTAN",SAWI HIJAU,F.A.Q,KG,600.0,600.0,600.0
Wholesale Price,"KOTA BHARU, KELANTAN",TELUR AYAM,A,100 BIJI,44.0,44.0,44.0
Wholesale Price,"KOTA BHARU, KELANTAN",TELUR AYAM,B,100 BIJI,42.0,42.0,42.0
Wholesale Price,"KOTA BHARU, KELANTAN",TELUR AYAM,C,100 BIJI,41.0,41.0,41.0
Wholesale Price,"KOTA BHARU, KELANTAN",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,200.0,180.0,180.0
Wholesale Price,"KOTA BHARU, KELANTAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,500.0,450.0,450.0
Wholesale Price,"KOTA BHARU, KELANTAN",TIMUN HIJAU,F.A.Q,KG,350.0,320.0,320.0
Wholesale Price,"KOTA BHARU, KELANTAN",TOMATO (TANAH TINGGI),F.A.Q,KG,500.0,500.0,500.0
Wholesale Price,"KOTA BHARU, KELANTAN",UBI KENTANG HOLLAND,F.A.Q,KG,300.0,300.0,300.0
Wholesale Price,"MELAKA TENGAH, MELAKA",AYAM PROSES STANDARD,F.A.Q,KG,760.0,760.0,760.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,350.0,350.0,300.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG BESAR MERAH (INDIA),F.A.Q,KG,300.0,300.0,300.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,450.0,450.0,450.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG MERAH / KECIL (THAI),F.A.Q,KG,1000.0,975.0,950.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG MERAH ROSE,F.A.Q,KG,650.0,600.0,550.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG PUTIH (CHINA),F.A.Q,KG,750.0,725.0,700.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BAYAM,F.A.Q,KG,230.0,230.0,200.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BELIMBING (B10),F.A.Q,KG,480.0,465.0,450.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BETIK SEKAKI,F.A.Q,KG,350.0,315.0,280.0
Wholesale Price,"MELAKA TENGAH, MELAKA",BUNGA KANTAN,F.A.Q,TANGKAI,1.5,1.5,1.5
Wholesale Price,"MELAKA TENGAH, MELAKA",CILI HIJAU,F.A.Q,KG,1100.0,1100.0,1100.0
Wholesale Price,"MELAKA TENGAH, MELAKA",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1100.0,1100.0,1000.0
Wholesale Price,"MELAKA TENGAH, MELAKA",CILI MERAH MINYAK,F.A.Q,KG,1100.0,1100.0,1000.0
Wholesale Price,"MELAKA TENGAH, MELAKA",DAUN BAWANG,F.A.Q,KG,550.0,500.0,500.0
Wholesale Price,"MELAKA TENGAH, MELAKA",DAUN SUP (TANAH TINGGI),F.A.Q,KG,1000.0,1000.0,900.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KACANG BENDI,F.A.Q,KG,380.0,350.0,350.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KACANG BUNCIS,F.A.Q,KG,980.0,980.0,900.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KACANG PANJANG HIJAU,F.A.Q,KG,550.0,550.0,500.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KANGKUNG,F.A.Q,KG,230.0,230.0,200.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KELAPA DIKUPAS,BESAR,100 BIJI,180.0,165.0,150.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KELAPA DIKUPAS,KECIL,100 BIJI,160.0,155.0,150.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KELAPA DIKUPAS,SEDANG,100 BIJI,160.0,160.0,160.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KELAPA DIKUPAS,TIDAK DIGRED,100 BIJI,180.0,150.0,140.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KETOLA / PETOLA SEGI,F.A.Q,KG,300.0,300.0,280.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KUBIS BULAT (CHINA),F.A.Q,KG,300.0,300.0,300.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KUBIS BULAT (INDONESIA),F.A.Q,KG,300.0,300.0,300.0
Wholesale Price,"MELAKA TENGAH, MELAKA",KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,300.0,250.0,250.0
Wholesale Price,"MELAKA TENGAH, MELAKA",PISANG BERANGAN,F.A.Q,KG,280.0,265.0,250.0
Wholesale Price,"MELAKA TENGAH, MELAKA",PISANG MAS,F.A.Q,KG,270.0,260.0,250.0
Wholesale Price,"MELAKA TENGAH, MELAKA",SAWI HIJAU,F.A.Q,KG,350.0,350.0,350.0
Wholesale Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,A,100 BIJI,41.0,41.0,41.0
Wholesale Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,B,100 BIJI,41.0,41.0,41.0
Wholesale Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,C,100 BIJI,37.0,37.0,37.0
Wholesale Price,"MELAKA TENGAH, MELAKA",TEMBIKAI MERAH,F.A.Q,KG,290.0,285.0,280.0
Wholesale Price,"MELAKA TENGAH, MELAKA",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,290.0,285.0,280.0
Wholesale Price,"MELAKA TENGAH, MELAKA",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,650.0,600.0,600.0
Wholesale Price,"MELAKA TENGAH, MELAKA",TIMUN HIJAU,F.A.Q,KG,320.0,320.0,300.0
Wholesale Price,"MELAKA TENGAH, MELAKA",TOMATO (TANAH TINGGI),F.A.Q,KG,350.0,350.0,320.0
Wholesale Price,"MELAKA TENGAH, MELAKA",UBI KENTANG HOLLAND,F.A.Q,KG,200.0,200.0,200.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",AYAM HIDUP,F.A.Q,KG,600.0,590.0,580.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",AYAM PROSES STANDARD,F.A.Q,KG,760.0,760.0,760.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,400.0,375.0,350.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG BESAR MERAH (INDIA),F.A.Q,KG,300.0,275.0,250.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,500.0,450.0,400.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG MERAH / KECIL (THAI),F.A.Q,KG,1100.0,1050.0,1000.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG MERAH ROSE,F.A.Q,KG,600.0,550.0,500.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG PUTIH (CHINA),F.A.Q,KG,700.0,700.0,700.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAYAM,F.A.Q,KG,300.0,275.0,250.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BELIMBING (B10),F.A.Q,KG,500.0,450.0,400.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BETIK SEKAKI,F.A.Q,KG,350.0,325.0,300.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BUNGA KANTAN,F.A.Q,TANGKAI,1.0,0.9,0.8
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",CILI HIJAU,F.A.Q,KG,1000.0,950.0,900.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1400.0,1350.0,1300.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",CILI MERAH MINYAK,F.A.Q,KG,1200.0,1150.0,1100.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",DAUN BAWANG,F.A.Q,KG,600.0,550.0,500.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",DAUN SUP (TANAH TINGGI),F.A.Q,KG,700.0,650.0,600.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KACANG BENDI,F.A.Q,KG,800.0,750.0,700.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KACANG BUNCIS,F.A.Q,KG,1300.0,1250.0,1200.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KACANG PANJANG HIJAU,F.A.Q,KG,900.0,850.0,800.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KANGKUNG,F.A.Q,KG,300.0,275.0,250.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KELAPA DIKUPAS,SEDANG,100 BIJI,200.0,195.0,190.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KETOLA / PETOLA SEGI,F.A.Q,KG,500.0,475.0,450.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,550.0,525.0,500.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",PISANG BERANGAN,F.A.Q,KG,350.0,325.0,300.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",PISANG MAS,F.A.Q,KG,350.0,325.0,300.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",SAWI HIJAU,F.A.Q,KG,500.0,475.0,450.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,A,100 BIJI,41.0,41.0,41.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,B,100 BIJI,39.0,39.0,39.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,C,100 BIJI,37.0,37.0,37.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,300.0,275.0,250.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,700.0,650.0,600.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TIMUN HIJAU,F.A.Q,KG,450.0,425.0,400.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TOMATO (TANAH TINGGI),F.A.Q,KG,450.0,425.0,400.0
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",UBI KENTANG HOLLAND,F.A.Q,KG,350.0,325.0,300.0
Wholesale Price,"KUANTAN, PAHANG",AYAM HIDUP,F.A.Q,KG,605.0,605.0,605.0
Wholesale Price,"KUANTAN, PAHANG",AYAM PROSES STANDARD,F.A.Q,KG,760.0,760.0,760.0
Wholesale Price,"KUANTAN, PAHANG",BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,200.0,200.0,200.0
Wholesale Price,"KUANTAN, PAHANG",BAWANG BESAR MERAH (INDIA),F.A.Q,KG,200.0,200.0,200.0
Wholesale Price,"KUANTAN, PAHANG",BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,250.0,250.0,250.0
